country_or_area,year,value,category
Australia,2014,393126.947,co2_without_land
Australia,2013,396913.9365,co2_without_land
Australia,2012,406462.8477,co2_without_land
Australia,2011,403705.5283,co2_without_land
Australia,2010,406200.9932,co2_without_land
Australia,2009,408448.479,co2_without_land
Australia,2008,404237.8282,co2_without_land
Australia,2007,398816.4535,co2_without_land
Australia,2006,391134.1009,co2_without_land
Australia,2005,385581.1328,co2_without_land
Australia,2004,381519.2616,co2_without_land
Australia,2003,368345.9774,co2_without_land
Australia,2002,361861.3879,co2_without_land
Australia,2001,357653.3299,co2_without_land
Australia,2000,349885.4331,co2_without_land
Australia,1999,343713.9069,co2_without_land
Australia,1998,334328.1426,co2_without_land
Australia,1997,320439.1168,co2_without_land
Australia,1996,311914.8198,co2_without_land
Australia,1995,305162.5435,co2_without_land
Australia,1994,293830.7091,co2_without_land
Australia,1993,289142.2677,co2_without_land
Australia,1992,284766.0927,co2_without_land
Australia,1991,279741.639,co2_without_land
Australia,1990,278265.8989,co2_without_land
Austria,2014,64262.56399,co2_without_land
Austria,2013,67957.12111,co2_without_land
Austria,2012,67698.65863,co2_without_land
Austria,2011,70327.16704,co2_without_land
Austria,2010,72531.82613,co2_without_land
Austria,2009,67682.72515,co2_without_land
Austria,2008,74066.25579,co2_without_land
Austria,2007,74268.11072,co2_without_land
Austria,2006,76934.95153,co2_without_land
Austria,2005,79588.50188,co2_without_land
Austria,2004,78388.99743,co2_without_land
Austria,2003,78023.9539,co2_without_land
Austria,2002,72126.59144,co2_without_land
Austria,2001,70299.47115,co2_without_land
Austria,2000,66274.74325,co2_without_land
Austria,1999,65660.13364,co2_without_land
Austria,1998,67047.25067,co2_without_land
Austria,1997,67455.89273,co2_without_land
Austria,1996,67667.2627,co2_without_land
Austria,1995,64202.15922,co2_without_land
Austria,1994,61189.1025,co2_without_land
Austria,1993,60790.75772,co2_without_land
Austria,1992,60432.24934,co2_without_land
Austria,1991,65903.51331,co2_without_land
Austria,1990,62297.16557,co2_without_land
Belarus,2014,60615.64573,co2_without_land
Belarus,2013,61510.98715,co2_without_land
Belarus,2012,60636.85139,co2_without_land
Belarus,2011,61128.40059,co2_without_land
Belarus,2010,61632.4927,co2_without_land
Belarus,2009,59596.20538,co2_without_land
Belarus,2008,63846.10379,co2_without_land
Belarus,2007,61563.88173,co2_without_land
Belarus,2006,62229.39888,co2_without_land
Belarus,2005,59664.73908,co2_without_land
Belarus,2004,58457.64762,co2_without_land
Belarus,2003,54845.14584,co2_without_land
Belarus,2002,53843.70442,co2_without_land
Belarus,2001,53783.84767,co2_without_land
Belarus,2000,53686.85749,co2_without_land
Belarus,1999,55033.95212,co2_without_land
Belarus,1998,57426.32958,co2_without_land
Belarus,1997,60971.81631,co2_without_land
Belarus,1996,57251.3557,co2_without_land
Belarus,1995,56005.93938,co2_without_land
Belarus,1994,62402.27908,co2_without_land
Belarus,1993,75551.75529,co2_without_land
Belarus,1992,87060.81029,co2_without_land
Belarus,1991,93649.16614,co2_without_land
Belarus,1990,100438.0951,co2_without_land
Belgium,2014,96325.41318,co2_without_land
Belgium,2013,101744.7367,co2_without_land
Belgium,2012,100931.5956,co2_without_land
Belgium,2011,104945.7138,co2_without_land
Belgium,2010,114155.3867,co2_without_land
Belgium,2009,107282.5435,co2_without_land
Belgium,2008,120362.6098,co2_without_land
Belgium,2007,118027.4086,co2_without_land
Belgium,2006,122319.5938,co2_without_land
Belgium,2005,125118.0165,co2_without_land
Belgium,2004,128640.4835,co2_without_land
Belgium,2003,127523.9897,co2_without_land
Belgium,2002,126015.1947,co2_without_land
Belgium,2001,125649.3705,co2_without_land
Belgium,2000,126315.2099,co2_without_land
Belgium,1999,124208.0718,co2_without_land
Belgium,1998,129737.09,co2_without_land
Belgium,1997,123495.7428,co2_without_land
Belgium,1996,129010.4717,co2_without_land
Belgium,1995,125519.442,co2_without_land
Belgium,1994,124426.8857,co2_without_land
Belgium,1993,121156.965,co2_without_land
Belgium,1992,122217.9195,co2_without_land
Belgium,1991,123130.6529,co2_without_land
Belgium,1990,119982.5034,co2_without_land
Bulgaria,2014,45139.95529,co2_without_land
Bulgaria,2013,42534.9272,co2_without_land
Bulgaria,2012,48117.55608,co2_without_land
Bulgaria,2011,53020.98112,co2_without_land
Bulgaria,2010,47678.64896,co2_without_land
Bulgaria,2009,45487.87355,co2_without_land
Bulgaria,2008,53655.14017,co2_without_land
Bulgaria,2007,55184.4241,co2_without_land
Bulgaria,2006,51446.28294,co2_without_land
Bulgaria,2005,50191.11606,co2_without_land
Bulgaria,2004,49170.33769,co2_without_land
Bulgaria,2003,49971.15158,co2_without_land
Bulgaria,2002,45786.29472,co2_without_land
Bulgaria,2001,48568.91783,co2_without_land
Bulgaria,2000,44896.67055,co2_without_land
Bulgaria,1999,45751.7891,co2_without_land
Bulgaria,1998,52143.35677,co2_without_land
Bulgaria,1997,54790.13416,co2_without_land
Bulgaria,1996,57581.19476,co2_without_land
Bulgaria,1995,57221.60629,co2_without_land
Bulgaria,1994,55649.08132,co2_without_land
Bulgaria,1993,57203.93552,co2_without_land
Bulgaria,1992,56551.59357,co2_without_land
Bulgaria,1991,59769.3415,co2_without_land
Bulgaria,1990,78197.88126,co2_without_land
Canada,2014,574099.7755,co2_without_land
Canada,2013,573094.0388,co2_without_land
Canada,2012,563423.6132,co2_without_land
Canada,2011,558152.7229,co2_without_land
Canada,2010,555003.7603,co2_without_land
Canada,2009,542829.4589,co2_without_land
Canada,2008,577444.9302,co2_without_land
Canada,2007,596041.322,co2_without_land
Canada,2006,573479.2697,co2_without_land
Canada,2005,579225.3357,co2_without_land
Canada,2004,585414.8606,co2_without_land
Canada,2003,587306.6785,co2_without_land
Canada,2002,569862.1456,co2_without_land
Canada,2001,564617.0203,co2_without_land
Canada,2000,572290.3855,co2_without_land
Canada,1999,550183.0634,co2_without_land
Canada,1998,533794.4536,co2_without_land
Canada,1997,525120.0112,co2_without_land
Canada,1996,510619.6822,co2_without_land
Canada,1995,497224.8369,co2_without_land
Canada,1994,482691.6713,co2_without_land
Canada,1993,467607.2372,co2_without_land
Canada,1992,468546.4589,co2_without_land
Canada,1991,454246.1379,co2_without_land
Canada,1990,463493.3324,co2_without_land
Croatia,2014,17607.32241,co2_without_land
Croatia,2013,18359.49984,co2_without_land
Croatia,2012,18776.38135,co2_without_land
Croatia,2011,20614.44047,co2_without_land
Croatia,2010,21183.70931,co2_without_land
Croatia,2009,21965.63527,co2_without_land
Croatia,2008,23715.38432,co2_without_land
Croatia,2007,24955.37593,co2_without_land
Croatia,2006,23684.93503,co2_without_land
Croatia,2005,23451.84585,co2_without_land
Croatia,2004,23005.23485,co2_without_land
Croatia,2003,23355.2211,co2_without_land
Croatia,2002,22031.12667,co2_without_land
Croatia,2001,20943.10996,co2_without_land
Croatia,2000,19789.12175,co2_without_land
Croatia,1999,20215.65323,co2_without_land
Croatia,1998,19372.3876,co2_without_land
Croatia,1997,18666.46698,co2_without_land
Croatia,1996,17587.89846,co2_without_land
Croatia,1995,16992.80042,co2_without_land
Croatia,1994,16342.18188,co2_without_land
Croatia,1993,17081.22802,co2_without_land
Croatia,1992,16607.13448,co2_without_land
Croatia,1991,17268.91035,co2_without_land
Croatia,1990,23390.07521,co2_without_land
Cyprus,2014,6878.555309,co2_without_land
Cyprus,2013,6449.610812,co2_without_land
Cyprus,2012,7160.971876,co2_without_land
Cyprus,2011,7696.667805,co2_without_land
Cyprus,2010,8004.912021,co2_without_land
Cyprus,2009,8372.396592,co2_without_land
Cyprus,2008,8620.395582,co2_without_land
Cyprus,2007,8458.664261,co2_without_land
Cyprus,2006,8152.492308,co2_without_land
Cyprus,2005,7961.983989,co2_without_land
Cyprus,2004,7776.909405,co2_without_land
Cyprus,2003,7550.081928,co2_without_land
Cyprus,2002,7160.388458,co2_without_land
Cyprus,2001,6969.466176,co2_without_land
Cyprus,2000,7095.964385,co2_without_land
Cyprus,1999,6847.659116,co2_without_land
Cyprus,1998,6580.29615,co2_without_land
Cyprus,1997,6287.031657,co2_without_land
Cyprus,1996,6156.132134,co2_without_land
Cyprus,1995,5848.043785,co2_without_land
Cyprus,1994,5977.257105,co2_without_land
Cyprus,1993,5733.674102,co2_without_land
Cyprus,1992,5482.97487,co2_without_land
Cyprus,1991,5107.082887,co2_without_land
Cyprus,1990,4621.007177,co2_without_land
Czech Republic,2014,101159.1222,co2_without_land
Czech Republic,2013,106477.0887,co2_without_land
Czech Republic,2012,109841.3289,co2_without_land
Czech Republic,2011,114113.1467,co2_without_land
Czech Republic,2010,115757.3686,co2_without_land
Czech Republic,2009,113970.0292,co2_without_land
Czech Republic,2008,121780.7163,co2_without_land
Czech Republic,2007,126933.163,co2_without_land
Czech Republic,2006,125923.4024,co2_without_land
Czech Republic,2005,124590.1379,co2_without_land
Czech Republic,2004,126876.9162,co2_without_land
Czech Republic,2003,126151.6488,co2_without_land
Czech Republic,2002,122593.4001,co2_without_land
Czech Republic,2001,125541.5365,co2_without_land
Czech Republic,2000,125841.9693,co2_without_land
Czech Republic,1999,115475.26,co2_without_land
Czech Republic,1998,123696.5173,co2_without_land
Czech Republic,1997,128732.6387,co2_without_land
